,value,bankier_time,server_time
0,0.0,0,0
1,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 13:11:03 2020
2,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 13:26:03 2020
3,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 13:41:03 2020
4,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:22:41 2020
5,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:23:02 2020
6,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:23:25 2020
7,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:23:41 2020
8,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:24:01 2020
9,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:24:21 2020
10,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:24:53 2020
11,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:25:01 2020
12,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:25:21 2020
13,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:37:41 2020
14,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 14:47:42 2020
15,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 15:54:56 2020
16,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 16:04:55 2020
17,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 16:14:55 2020
18,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 16:24:55 2020
19,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 16:44:55 2020
20,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 16:54:55 2020
21,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 17:04:55 2020
22,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 17:14:55 2020
23,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 17:24:57 2020
24,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 17:34:55 2020
25,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 17:44:55 2020
26,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 17:54:55 2020
27,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 18:04:55 2020
28,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 18:14:55 2020
29,297.0,Fri Apr  3 17:04:15 2020,Sat Apr  4 18:24:56 2020
